x,y,stiffness
-10.0,-10.0,10000256.525089117
-9.8,-10.0,10000264.735855594
-9.600000000000001,-10.0,10000273.280062906
-9.400000000000002,-10.0,10000282.190435076
-9.200000000000003,-10.0,10000291.50314146
-9.000000000000004,-10.0,10000301.257884182
-8.800000000000004,-10.0,10000311.497957744
-8.600000000000005,-10.0,10000322.27027743
-8.400000000000006,-10.0,10000333.625373526
-8.200000000000006,-10.0,10000345.617348257
-8.000000000000007,-10.0,10000358.303792669
-7.800000000000008,-10.0,10000371.745660827
-7.6000000000000085,-10.0,10000386.007098956
-7.400000000000009,-10.0,10000401.155227529
-7.20000000000001,-10.0,10000417.259874474
-7.000000000000011,-10.0,10000434.393258467
-6.800000000000011,-10.0,10000452.629621109
-6.600000000000012,-10.0,10000472.044807967
-6.400000000000013,-10.0,10000492.715798402
-6.2000000000000135,-10.0,10000514.720185079
-6.000000000000014,-10.0,10000538.135604342
-5.800000000000015,-10.0,10000563.039119566
-5.600000000000016,-10.0,10000589.506559914
-5.400000000000016,-10.0,10000617.611817937
-5.200000000000017,-10.0,10000647.426109718
-5.000000000000018,-10.0,10000679.01720243
-4.8000000000000185,-10.0,10000712.448614296
-4.600000000000019,-10.0,10000747.778793007
-4.40000000000002,-10.0,10000785.060279107
-4.200000000000021,-10.0,10000824.338861316
-4.000000000000021,-10.0,10000865.65273159
-3.800000000000022,-10.0,10000909.031647889
-3.6000000000000227,-10.0,10000954.496113267
-3.4000000000000234,-10.0,10001002.056580087
-3.200000000000024,-10.0,10001051.712688554
-3.000000000000025,-10.0,10001103.45254878
-2.8000000000000256,-10.0,10001157.252075786
-2.6000000000000263,-10.0,10001213.074386744
-2.400000000000027,-10.0,10001270.86926961
-2.2000000000000277,-10.0,10001330.572732033
-2.0000000000000284,-10.0,10001392.106639074
-1.8000000000000291,-10.0,10001455.37844766
-1.6000000000000298,-10.0,10001520.281045191
-1.4000000000000306,-10.0,10001586.692698881
-1.2000000000000313,-10.0,10001654.47712155
-1.000000000000032,-10.0,10001723.483658629
-0.8000000000000327,-10.0,10001793.547600085
-0.6000000000000334,-10.0,10001864.490619723
-0.4000000000000341,-10.0,10001936.121343179
-0.20000000000003482,-10.0,10002008.236044407
-3.552713678800501e-14,-10.0,10002080.61946937
0.19999999999996376,-10.0,10002153.045783928
0.39999999999996305,-10.0,10002225.279641652
0.5999999999999623,-10.0,10002297.077365914
0.7999999999999616,-10.0,10002368.188238934
0.9999999999999609,-10.0,10002438.355889333
1.1999999999999602,-10.0,10002507.31976831
1.3999999999999595,-10.0,10002574.816703303
1.5999999999999588,-10.0,10002640.582516843
1.799999999999958,-10.0,10002704.353697285
1.9999999999999574,-10.0,10002765.869107237
2.1999999999999567,-10.0,10002824.871714639
2.399999999999956,-10.0,10002881.110330956
2.5999999999999552,-10.0,10002934.34134046
2.7999999999999545,-10.0,10002984.330404393
2.999999999999954,-10.0,10003030.85412373
3.199999999999953,-10.0,10003073.701644326
3.3999999999999524,-10.0,10003112.676188838
3.5999999999999517,-10.0,10003147.596500048
3.799999999999951,-10.0,10003178.298181135
3.9999999999999503,-10.0,10003204.63491938
4.1999999999999496,-10.0,10003226.479580754
4.399999999999949,-10.0,10003243.7251643
4.599999999999948,-10.0,10003256.285606436
4.799999999999947,-10.0,10003264.096426953
4.999999999999947,-10.0,10003267.115210151
5.199999999999946,-10.0,10003265.321916193
5.399999999999945,-10.0,10003258.719019687
5.599999999999945,-10.0,10003247.331474246
5.799999999999944,-10.0,10003231.206503613
5.999999999999943,-10.0,10003210.413221976
6.1999999999999424,-10.0,10003185.042087594
6.399999999999942,-10.0,10003155.204195999
6.599999999999941,-10.0,10003121.030420179
6.79999999999994,-10.0,10003082.670407372
6.99999999999994,-10.0,10003040.29144291
7.199999999999939,-10.0,10002994.077193206
7.399999999999938,-10.0,10002944.226341048
7.5999999999999375,-10.0,10002890.95112725
7.799999999999937,-10.0,10002834.475813454
7.999999999999936,-10.0,10002775.035081679
8.199999999999935,-10.0,10002712.872386273
8.399999999999935,-10.0,10002648.238274358
8.599999999999934,-10.0,10002581.388690777
8.799999999999933,-10.0,10002512.583283251
8.999999999999932,-10.0,10002442.083723212
9.199999999999932,-10.0,10002370.152057178
9.399999999999931,-10.0,10002297.049102629
9.59999999999993,-10.0,10002223.032901792
9.79999999999993,-10.0,10002148.357245402
-10.0,-9.8,10000271.62590601
-9.8,-9.8,10000280.179508546
-9.600000000000001,-9.8,10000289.052053079
-9.400000000000002,-9.8,10000298.275443798
-9.200000000000003,-9.8,10000307.885136062
-9.000000000000004,-9.8,10000317.920232775
-8.800000000000004,-9.8,10000328.423552064
-8.600000000000005,-9.8,10000339.4416629
-8.400000000000006,-9.8,10000351.024885394
-8.200000000000006,-9.8,10000363.22725278
-8.000000000000007,-9.8,10000376.106432056
-7.800000000000008,-9.8,10000389.723600699
-7.6000000000000085,-9.8,10000404.143276898
-7.400000000000009,-9.8,10000419.433101378
-7.20000000000001,-9.8,10000435.663568921
-7.000000000000011,-9.8,10000452.907708384
-6.800000000000011,-9.8,10000471.240710283
-6.600000000000012,-9.8,10000490.739501646
-6.400000000000013,-9.8,10000511.482268339
-6.2000000000000135,-9.8,10000533.547925554
-6.000000000000014,-9.8,10000557.01553795
-5.800000000000015,-9.8,10000581.9636914
-5.600000000000016,-9.8,10000608.469819074
-5.400000000000016,-9.8,10000636.609485222
-5.200000000000017,-9.8,10000666.455630627
-5.000000000000018,-9.8,10000698.077784559
-4.8000000000000185,-9.8,10000731.54124854
-4.600000000000019,-9.8,10000766.906257985
-4.40000000000002,-9.8,10000804.227128468
-4.200000000000021,-9.8,10000843.551393678
-4.000000000000021,-9.8,10000884.918943113
-3.800000000000022,-9.8,10000928.361167584
-3.6000000000000227,-9.8,10000973.900121378
-3.4000000000000234,-9.8,10001021.547709953
-3.200000000000024,-9.8,10001071.304912662
-3.000000000000025,-9.8,10001123.161049766
-2.8000000000000256,-9.8,10001177.09310337
-2.6000000000000263,-9.8,10001233.065101696
-2.400000000000027,-9.8,10001291.027576005
-2.2000000000000277,-9.8,10001350.917099208
-2.0000000000000284,-9.8,10001412.655914675
-1.8000000000000291,-9.8,10001476.151663512
-1.6000000000000298,-9.8,10001541.297217611
-1.4000000000000306,-9.8,10001607.970625153
-1.2000000000000313,-9.8,10001676.035174455
-1.000000000000032,-9.8,10001745.339580808
-0.8000000000000327,-9.8,10001815.718300149
-0.6000000000000334,-9.8,10001886.991971947
-0.4000000000000341,-9.8,10001958.967992604
-0.20000000000003482,-9.8,10002031.441219272
-3.552713678800501e-14,-9.8,10002104.19480247
0.19999999999996376,-9.8,10002177.001144685
0.39999999999996305,-9.8,10002249.622980528
0.5999999999999623,-9.8,10002321.814572511
0.7999999999999616,-9.8,10002393.32301527
0.9999999999999609,-9.8,10002463.889639521
1.1999999999999602,-9.8,10002533.251505643
1.3999999999999595,-9.8,10002601.14297573
1.5999999999999588,-9.8,10002667.297351588
1.799999999999958,-9.8,10002731.448565178
1.9999999999999574,-9.8,10002793.332907123
2.1999999999999567,-9.8,10002852.690778123
2.399999999999956,-9.8,10002909.268447472
2.5999999999999552,-9.8,10002962.81980249
2.7999999999999545,-9.8,10003013.108072475
2.999999999999954,-9.8,10003059.907510733
3.199999999999953,-9.8,10003103.005018245
3.3999999999999524,-9.8,10003142.201693226
3.5999999999999517,-9.8,10003177.314291008
3.799999999999951,-9.8,10003208.176579716
3.9999999999999503,-9.8,10003234.640577963
4.1999999999999496,-9.8,10003256.577662056
4.399999999999949,-9.8,10003273.87953133
4.599999999999948,-9.8,10003286.459021816
4.799999999999947,-9.8,10003294.250759805
4.999999999999947,-9.8,10003297.211648833
5.199999999999946,-9.8,10003295.321185004
5.399999999999945,-9.8,10003288.581597727
5.599999999999945,-9.8,10003277.01781458
5.799999999999944,-9.8,10003260.677250957
5.999999999999943,-9.8,10003239.629427083
6.1999999999999424,-9.8,10003213.965416688
6.399999999999942,-9.8,10003183.797133515
6.599999999999941,-9.8,10003149.256463401
6.79999999999994,-9.8,10003110.494251393
6.99999999999994,-9.8,10003067.67915464
7.199999999999939,-9.8,10003020.996373277
7.399999999999938,-9.8,10002970.646272445
7.5999999999999375,-9.8,10002916.842909867
7.799999999999937,-9.8,10002859.81248378
7.999999999999936,-9.8,10002799.79171697
8.199999999999935,-9.8,10002737.02619284
8.399999999999935,-9.8,10002671.768659653
8.599999999999934,-9.8,10002604.277319118
8.799999999999933,-9.8,10002534.814115314
8.999999999999932,-9.8,10002463.64303941
9.199999999999932,-9.8,10002391.028465198
9.399999999999931,-9.8,10002317.233529728
9.59999999999993,-9.8,10002242.5185723
9.79999999999993,-9.8,10002167.139644217
-10.0,-9.600000000000001,10000287.87442903
-9.8,-9.600000000000001,10000296.79056363
-9.600000000000001,-9.600000000000001,10000306.009252237
-9.400000000000002,-9.600000000000001,10000315.561450627
-9.200000000000003,-9.600000000000001,10000325.481776271
-9.000000000000004,-9.600000000000001,10000335.80861433
-8.800000000000004,-9.600000000000001,10000346.584194073
-8.600000000000005,-9.600000000000001,10000357.854632346
-8.400000000000006,-9.600000000000001,10000369.669940567
-8.200000000000006,-9.600000000000001,10000382.08399226
-8.000000000000007,-9.600000000000001,10000395.154448014
-7.800000000000008,-9.600000000000001,10000408.942635065
-7.6000000000000085,-9.600000000000001,10000423.5133791
-7.400000000000009,-9.600000000000001,10000438.934786083
-7.20000000000001,-9.600000000000001,10000455.277972309
-7.000000000000011,-9.600000000000001,10000472.616741445
-6.800000000000011,-9.600000000000001,10000491.027207581
-6.600000000000012,-9.600000000000001,10000510.58736404
